Type,File,Size,Run1,Run2,Run3,Run4,Run5,
branched,l_extendedprice-int32.csv,1024,      869,      865,      741,      734,      739,
branched,l_extendedprice-int32.csv,4096,     8774,     7805,     6937,     6358,     5901,
branched,l_extendedprice-int32.csv,16384,   154951,   151241,   152413,   151828,   153543,
branched,l_extendedprice-int32.csv,65536,  3864205,  3868531,  3846941,  3874539,  3891539,
branched,l_extendedprice-int32.csv,131072, 16225900, 16022744, 15991657, 16091109, 15969300,
branched,l_extendedprice-int32.csv,262144, 64907400, 65762169, 63818407, 64076643, 65477428,
branched,l_extendedprice-int32.csv,524288,263615359,258156969,259274761,259335395,258769416,
branched,l_extendedprice-int32.csv,1048576,1033826477,1023991796,1022728854,1024888600,1020884287,
branched,l_orderkey-int32.csv,1024,      173,      173,      173,      173,      173,
branched,l_orderkey-int32.csv,4096,     2657,     2656,     2659,     2662,     2669,
branched,l_orderkey-int32.csv,16384,    42127,    42089,    42120,    42140,    42126,
branched,l_orderkey-int32.csv,65536,   678001,   678358,   678315,   679153,   677644,
branched,l_orderkey-int32.csv,131072,  2702698,  2698190,  2697927,  2698799,  2697717,
branched,l_orderkey-int32.csv,262144, 10773104, 10791336, 10839810, 10793591, 11093281,
branched,l_orderkey-int32.csv,524288, 45356049, 46003032, 45140420, 44987557, 45713438,
branched,l_orderkey-int32.csv,1048576,191486586,191547857,191699415,191734708,191561822,
branched,l_tax-int8.csv,1024,      323,      334,      324,      323,      323,
branched,l_tax-int8.csv,4096,     4526,     4428,     4489,     4442,     4442,
branched,l_tax-int8.csv,16384,   144677,   152496,   150983,   152590,   156176,
branched,l_tax-int8.csv,65536,  3888178,  3829554,  3882609,  3892558,  3827730,
branched,l_tax-int8.csv,131072, 15851022, 15824994, 15792884, 15665592, 15528229,
branched,l_tax-int8.csv,262144, 63070362, 63645729, 63773449, 63986072, 64164383,
branched,l_tax-int8.csv,524288,255481217,254380593,255233182,253219132,253651600,
branched,l_tax-int8.csv,1048576,1017439417,1020133936,1023264697,1014839660,1027461132,
predicated,l_extendedprice-int32.csv,1024,      429,      477,      469,      430,      430,
predicated,l_extendedprice-int32.csv,4096,     6252,     5767,     5629,     5619,     5614,
predicated,l_extendedprice-int32.csv,16384,    90311,    90773,    90391,    91519,    90335,
predicated,l_extendedprice-int32.csv,65536,  1453021,  1469974,  1455626,  1457235,  1459633,
predicated,l_extendedprice-int32.csv,131072,  5849361,  5848920,  5857700,  5850037,  5853181,
predicated,l_extendedprice-int32.csv,262144, 23346163, 23296429, 23516098, 23658685, 23966432,
predicated,l_extendedprice-int32.csv,524288, 95545523, 95266167, 94084481, 93359229, 93624432,
predicated,l_extendedprice-int32.csv,1048576,373149567,374800386,378012503,369907894,370044500,
predicated,l_orderkey-int32.csv,1024,      349,      350,      373,      375,      374,
predicated,l_orderkey-int32.csv,4096,     5865,     5646,     5638,     5613,     5612,
predicated,l_orderkey-int32.csv,16384,    90203,    90167,    91332,    90269,    91335,
predicated,l_orderkey-int32.csv,65536,  1445688,  1445198,  1463212,  1472780,  1445439,
predicated,l_orderkey-int32.csv,131072,  5829299,  5853704,  5806220,  5835299,  5803777,
predicated,l_orderkey-int32.csv,262144, 23241685, 23187885, 23320126, 23296247, 23308807,
predicated,l_orderkey-int32.csv,524288, 92928687, 92938117, 92842241, 94413198, 92974760,
predicated,l_orderkey-int32.csv,1048576,367464713,370547739,370335816,376961184,381269028,
predicated,l_tax-int8.csv,1024,      348,      348,      348,      347,      348,
predicated,l_tax-int8.csv,4096,     5615,     5614,     5616,     5623,     5614,
predicated,l_tax-int8.csv,16384,    90205,    91778,    90719,    91752,    92761,
predicated,l_tax-int8.csv,65536,  1474081,  1471957,  1465418,  1473348,  1465739,
predicated,l_tax-int8.csv,131072,  5867053,  5936749,  5914421,  5911349,  6280719,
predicated,l_tax-int8.csv,262144, 23871121, 23782711, 23477403, 23647778, 23470933,
predicated,l_tax-int8.csv,524288, 93977976, 94444426, 94702928, 94663066, 96153032,
predicated,l_tax-int8.csv,1048576,387375956,380352605,371391340,379944084,379236846,
